id,name,isFork,commits,branches,defaultBranch,releases,contributors,license,watchers,stargazers,forks,size,createdAt,pushedAt,updatedAt,homepage,mainLanguage,totalIssues,openIssues,totalPullRequests,openPullRequests,blankLines,codeLines,commentLines,metrics,lastCommit,lastCommitSHA,hasWiki,isArchived,languages,labels,topics
3406509,scutgame/scut,FALSE,1082,8,master,4,2,,236,1262,588,814074,2013-08-12T11:32:20,2016-07-02T11:23:41,2020-12-16T12:17:01,,C#,16,15,11,2,,,,[],2015-12-17T05:38:30,b30dcfacb9d2bc81e0e81dfd39b970a9af1e6f2a,,,{},[],[]
3415030,dotnetopenauth/dotnetopenauth,FALSE,3500,39,develop,107,26,Other,230,1682,741,68175,2008-03-21T04:25:42,2018-01-11T01:05:28,2020-12-18T10:20:23,http://dotnetopenauth.net,C#,323,81,80,9,,,,[],2018-01-11T01:05:27,b02345116507288365756fb50c894c3c7d3113cb,,,{},[],[]
3416375,sq/jsil,FALSE,3906,4,master,2,24,Other,107,1637,250,118498,2011-04-10T07:59:55,2018-02-28T04:57:28,2020-12-14T08:24:35,http://jsil.org/,C#,777,360,279,20,,,,[],2017-03-09T09:59:50,1d57d5427c87ab92ffa3ca4b82429cd7509796ba,,,{},[],[]
3416376,markrendle/simple.data,FALSE,721,8,master,22,37,MIT License,135,1335,313,29489,2010-08-05T08:14:58,2018-01-31T10:03:12,2020-12-14T05:17:02,,C#,314,74,89,13,,,,[],2014-03-31T12:54:59,65ff01e482ce71190869001c221caa140feb70e5,,,{},[],[]
3418860,voat/voat,FALSE,2059,5,Core,7,38,Other,100,1214,294,28694,2014-04-10T04:11:25,2018-07-08T01:12:04,2020-12-18T04:26:07,https://voat.co,C#,605,72,342,6,,,,[],2017-12-04T09:31:49,2a18ce43cbb6374b7625b6bffd1aad14c7696f5c,,,{},[],[]
3421243,identityserver/identityserver3,FALSE,2607,8,master,36,50,Apache License 2.0,240,2041,797,19537,2014-01-07T07:19:39,2021-09-17T05:33:06,2021-09-17T05:33:24,https://identityserver.github.io/Documentation/,C#,3633,72,274,23,,,,[],2018-10-16T04:33:50,e6024ddbb7a6e6bf23e9fbcdffef6da9833c54c1,,,"{""C#"":2258312,""JavaScript"":1165559,""CSS"":136472,""HTML"":18090,""PowerShell"":4103,""Smalltalk"":226,""Batchfile"":106}","[""0 - backlog"",""1 - ready"",""2 - working"",""3 - done"",""breaking change"",""bug fix"",""bug report"",""duplicate"",""enhancement"",""feature idea - discuss!"",""feature request"",""for review"",""interesting read"",""invalid"",""investigating"",""link <=> identityserver/documentation"",""link <=> identityserver/identityserver3.accesstokenvalidatio"",""link <=> identityserver/identityserver3.aspnetidentity"",""link <=> identityserver/identityserver3.entityframework"",""link <=> identityserver/identityserver3.membershipreboot"",""link <=> identityserver/identityserver3.samples"",""link <=> identityserver/identityserver3.wsfederation"",""new feature"",""question"",""solution"",""todo - needs label and milestone"",""up for grabs"",""wontfix""]",[]
3421511,jabbr/jabbr,FALSE,2964,25,dev,9,84,MIT License,153,1493,622,31767,2011-08-30T01:35:41,2018-09-21T04:18:00,2020-12-16T01:47:59,http://about.jabbr.net,C#,610,157,646,13,,,,[],2016-04-03T04:19:51,eb5b4e2f1e5bdbb1ea91230f1884716170a6976d,,,"{""C#"":1062088,""JavaScript"":539217,""CSS"":403339,""PowerShell"":12580,""Batchfile"":5508}","[""backlog"",""bug"",""feature"",""task"",""ui""]",[]
3423069,aspnet/mvc,FALSE,4596,61,master,49,149,Apache License 2.0,846,5742,2237,72119,2013-12-12T03:54:00,2018-11-28T09:40:17,2020-12-18T03:41:31,,C#,5180,0,3459,0,,,,[],2018-11-28T09:40:12,04ce6cae44fb0cb11470c21769d41e3f8088e8aa,,,{},[],[]
3423070,aspnet/kestrelhttpserver,FALSE,2219,28,master,40,85,Apache License 2.0,291,2619,530,8616,2014-05-30T10:46:28,2018-11-22T12:09:49,2020-12-18T07:22:15,,C#,1458,0,1542,0,,,,[],2018-11-15T04:43:53,5c1fcd664d39db8fe5c8e38052a3cc29f90322f6,,,{},[],[]
3423071,aspnet/signalr,FALSE,1914,39,master,18,60,Apache License 2.0,250,2405,443,10896,2016-10-17T04:39:15,2018-12-01T07:02:42,2020-12-18T07:26:46,,C#,1659,0,1573,0,14837,97192,11825,"[{""blankLines"":16,""codeLines"":70,""commentLines"":0,""language"":""CMake""},{""blankLines"":1285,""codeLines"":6518,""commentLines"":881,""language"":""TypeScript""},{""blankLines"":1265,""codeLines"":5518,""commentLines"":586,""language"":""C++""},{""blankLines"":23,""codeLines"":64,""commentLines"":2,""language"":""DOS Batch""},{""blankLines"":2134,""codeLines"":9712,""commentLines"":4111,""language"":""JavaScript""},{""blankLines"":95,""codeLines"":2400,""commentLines"":81,""language"":""XML""},{""blankLines"":48,""codeLines"":150,""commentLines"":59,""language"":""PowerShell""},{""blankLines"":95,""codeLines"":666,""commentLines"":5,""language"":""HTML""},{""blankLines"":411,""codeLines"":1002,""commentLines"":0,""language"":""Markdown""},{""blankLines"":1,""codeLines"":25586,""commentLines"":0,""language"":""JSON""},{""blankLines"":164,""codeLines"":993,""commentLines"":29,""language"":""MSBuild script""},{""blankLines"":8059,""codeLines"":39151,""commentLines"":5291,""language"":""C#""},{""blankLines"":874,""codeLines"":3470,""commentLines"":619,""language"":""Java""},{""blankLines"":49,""codeLines"":355,""commentLines"":32,""language"":""Bourne Shell""},{""blankLines"":16,""codeLines"":97,""commentLines"":3,""language"":""Gradle""},{""blankLines"":3,""codeLines"":459,""commentLines"":3,""language"":""Visual Studio Solution""},{""blankLines"":286,""codeLines"":861,""commentLines"":122,""language"":""C/C++ Header""},{""blankLines"":3,""codeLines"":16,""commentLines"":0,""language"":""Protocol Buffers""},{""blankLines"":10,""codeLines"":104,""commentLines"":1,""language"":""YAML""}]",2018-11-28T09:37:32,8c6ed160d84f58ce8edf06a1c74221ddc8983ee9,,,{},[],[]
3423072,aspnet/identity,FALSE,1255,132,master,44,90,Apache License 2.0,312,1915,875,37339,2014-02-03T08:23:53,2018-12-05T07:14:17,2020-12-19T12:55:38,,C#,1299,0,662,0,,,,[],2018-12-04T11:53:46,feedcb5c53444f716ef5121d3add56e11c7b71e5,,,{},[],[]
3423073,aspnet/security,FALSE,1081,50,master,38,79,Apache License 2.0,189,1192,566,4562,2014-03-13T07:44:34,2018-11-22T12:05:53,2020-12-15T02:22:37,,C#,1274,0,601,0,,,,[],2018-11-22T12:05:52,26d27d871b7992022c082dc207e3d126e1d9d278,,,{},[],[]
3423074,winauth/winauth,FALSE,536,5,master,78,10,GNU General Public License v3.0,89,1176,266,79703,2015-03-12T06:12:15,2018-12-12T09:05:03,2020-12-19T07:19:52,,C#,638,172,18,5,,,,[],2018-10-12T09:28:30,c57132f57b8a90e5219c628deb591f4603f27cb0,,,{},[],[]
3425730,glimpse/glimpse,FALSE,2593,12,master,29,46,Apache License 2.0,164,2311,440,106305,2011-01-27T04:46:44,2021-01-22T12:56:22,2021-01-22T07:24:45,http://getGlimpse.com,C#,847,47,192,23,,,,[],2019-03-01T07:33:07,35818b9788784ed6bcaa440f1fe438e3663ba901,,,{},[],[]
3425731,ddevault/truecraft,FALSE,818,3,master,0,27,MIT License,150,2061,274,6956,2014-12-26T11:50:04,2019-02-13T02:38:38,2020-12-17T09:48:36,http://truecraft.io/,C#,148,48,135,1,,,,[],2018-11-19T03:19:19,cd0ed366580160dc58ff93603da158c161eb3ad6,,,{},[],[]
3425732,sharpdx/sharpdx,FALSE,3004,7,master,24,85,MIT License,168,1417,544,148975,2012-11-08T12:17:01,2020-12-24T09:17:27,2021-01-12T04:53:41,http://sharpdx.org,C#,790,193,349,7,,,,[],2019-03-30T09:25:51,ab36f12303e24aa60fe804866617716b6ded95db,,,{},[],[]
3425734,jessecar96/steambot,FALSE,817,1,master,0,49,MIT License,193,1151,962,16711,2012-07-11T08:07:47,2019-02-24T12:37:05,2020-12-12T12:19:30,http://scrap.tf,C#,853,73,301,2,,,,[],2018-12-10T12:20:46,e8e9e5fcd64ae35b201e2597068849c10a667b60,,,{},[],[]
3427328,shadowsocksr-backup/shadowsocksr-csharp,FALSE,736,7,master,97,21,GNU General Public License v3.0,285,4367,2021,8391,2017-07-27T02:46:22,2019-04-10T06:19:06,2020-12-19T08:35:54,,C#,9,6,2,1,,,,[],2017-07-27T07:54:11,932b86ef57836bdb20fa96d88823174b5ecced60,,,{},[],[]
3430437,ebekker/acmesharp,FALSE,727,5,master,5,25,,9,1201,187,4680,2015-08-13T11:24:02,2023-05-30T07:13:34,2023-06-04T06:12:20,https://pkisharp.github.io/ACMESharp-docs/,C#,306,121,74,6,,,,[],2021-06-07T06:31:03,75baad7ffec2506779e477caa029facdb8b8b822,,,"{""C#"":789546,""PowerShell"":129714,""Batchfile"":2280}","[""acme-spec"",""category: error"",""category: question"",""category: request"",""category: suggestion"",""component: client-cli"",""component: client-lib"",""component: client-posh"",""dependencies"",""docs: client-posh"",""docs: examples"",""docs: faq"",""docs: general"",""forum: announce"",""forum: discuss"",""forum: vote"",""help wanted"",""resolution: deferred"",""resolution: duplicate"",""resolution: invalid"",""resolution: wontfix"",""triage: bug"",""triage: enhancement"",""triage: external"",""up-for-grabs""]","[""acme-client"",""acme-protocol"",""certificate"",""dotnet"",""letsencrypt"",""powershell""]"
3433845,code-cracker/code-cracker,FALSE,1520,3,master,16,64,Apache License 2.0,114,1103,292,3799,2014-11-07T12:31:47,2022-12-08T10:55:07,2022-12-12T10:48:11,http://code-cracker.github.io/,C#,603,136,448,8,,,,[],2022-12-08T10:54:31,82faa6721077f5bffa0890fb272368b1264851bc,,,"{""C#"":1724886,""Visual Basic .NET"":421528,""PowerShell"":31538,""C++"":93}","[""0 - backlog"",""1 - ready"",""2 - working"",""3 - done"",""already present"",""analyzer"",""blocked"",""bug"",""c#"",""can't repro"",""code-fix"",""decision"",""dependencies"",""docs"",""duplicate"",""enhancement"",""first-timers-only"",""help wanted"",""invalid"",""investigate"",""missing category"",""missing diagnostic id"",""missing severity"",""missing test cases"",""moved"",""needs discussion"",""new-analyzer-suggestion"",""performance"",""question"",""refactoring"",""up-for-grabs"",""update readme"",""vb"",""waiting-response"",""wontfix""]",[]
3434787,touchscript/touchscript,FALSE,1228,9,master,26,16,Other,136,1584,358,16083,2012-08-16T08:35:19,2023-05-22T06:40:22,2023-05-25T12:55:26,,C#,330,74,39,6,,,,[],2017-08-02T10:51:07,74f58155ddcd42c0a37428f2dd6814e05ec70215,,,"{""C#"":793830,""Shell"":6140,""C"":5153,""C++"":4712,""ShaderLab"":2969}","[""bug"",""duplicate"",""enhancement"",""help needed"",""invalid"",""question"",""wontfix""]",[]
