id,name,isFork,commits,branches,defaultBranch,releases,contributors,license,watchers,stargazers,forks,size,createdAt,pushedAt,updatedAt,homepage,mainLanguage,totalIssues,openIssues,totalPullRequests,openPullRequests,blankLines,codeLines,commentLines,metrics,lastCommit,lastCommitSHA,hasWiki,isArchived,languages,labels,topics
1087813,libgdx/packr,FALSE,517,5,master,6,23,Apache License 2.0,80,2428,168,3452,2014-03-27T07:24:30,2023-01-12T03:30:49,2023-01-17T03:06:34,,C,174,24,55,4,,,,[],2022-05-26T03:46:01,11da843b4baac1d6eaa1453db892c54185a36f82,,,"{""C"":136624,""C++"":119546,""Java"":92987,""Kotlin"":70363,""Makefile"":2783,""Batchfile"":2082}","[""bug"",""duplicate"",""enhancement"",""invalid"",""question"",""wontfix""]",[]
3258062,camerakit/camerakit-android,FALSE,520,5,master,17,30,MIT License,160,5221,864,21847,2016-11-27T07:29:43,2022-11-04T06:05:25,2022-11-14T11:23:15,https://camerakit.io,C,524,155,117,2,,,,[],2022-11-04T06:05:24,6e49752ab52601294cfb9ebfeba055523bd81745,,,"{""C"":255510,""Java"":192178,""Kotlin"":43411,""C++"":38898,""CMake"":1186,""Shell"":56}","[""affects company: expensify"",""cla: signed"",""cla: unsigned"",""priority: critical"",""priority: high"",""priority: low"",""priority: medium"",""status: abandoned"",""status: accepted"",""status: available"",""status: blocked"",""status: completed"",""status: in progress"",""status: on hold"",""status: pending"",""status: review needed"",""status: revision needed"",""type: bug"",""type: enhancement"",""type: maintenance"",""type: question""]",[]
3298376,dmajkic/redis,TRUE,2086,10,2.4,17,,BSD 3-Clause New or Revised License,189,1657,410,2994,2010-09-10T03:56:47,2012-05-03T08:41:41,2020-12-12T06:25:11,http://code.google.com/p/redis,C,,,2,1,,,,[],2012-05-03T08:41:39,6fe0b6c3452e934eb2094d8616f5345db5a99416,,,{},[],[]
3328716,wishstudio/flinux,FALSE,849,2,master,3,10,GNU General Public License v3.0,231,3547,249,1708,2014-07-11T02:39:36,2016-03-31T09:32:36,2020-12-02T09:10:04,,C,84,48,21,1,,,,[],2016-03-29T07:59:35,a041253e8706aa5e0543bbadfc0ff7b9f819c6af,,,{},[],[]
3330212,msysgit/msysgit,FALSE,1245,27,master,71,56,,227,1868,638,225005,2009-10-03T09:15:00,2016-05-21T12:46:39,2020-12-07T01:20:17,https://git-for-windows.github.io/,C,209,0,123,0,,,,[],2016-05-21T12:46:38,e6cc6bf1bba06c7029b2d59aedb0c975a0c4f6fe,,,{},[],[]
3345798,sustrik/libmill,FALSE,1074,2,master,39,27,MIT License,110,2434,185,17499,2014-04-29T07:25:22,2021-02-09T05:27:00,2021-02-10T06:52:35,,C,98,17,94,2,,,,[],2021-02-09T05:27:00,e8937e624757663f5379018cae3f2b3e916afb6c,,,"{""C"":484670,""C++"":24996,""M4"":5358,""Makefile"":4890,""CMake"":4334,""Shell"":3537}","[""bug"",""duplicate"",""enhancement"",""help wanted"",""invalid"",""question"",""wontfix""]",[]
3351931,fascinatedbox/lily,FALSE,3240,1,main,0,16,MIT License,32,1084,41,11899,2014-04-05T03:24:41,2021-07-22T02:31:45,2021-07-23T08:40:03,http://lily-lang.org,C,343,0,35,0,,,,[],2021-07-10T07:00:00,d41b30dc93d296ab1d59363fec98ef2892a1c7fd,,,"{""C"":965042,""C++"":12207,""Lua"":7277,""Python"":7146,""Ruby"":6778,""CMake"":6505}","[""a: c api"",""a: documentation"",""a: internal"",""a: syntax"",""a: testing"",""a: tooling"",""a: type system"",""bug"",""crasher"",""i: examples"",""i: website"",""proposal""]",[]
3354318,teamwin/team-win-recovery-project,FALSE,7506,11,android-9.0,0,178,,186,1786,751,108626,2012-04-10T11:51:26,2022-02-06T11:29:23,2022-02-07T03:15:16,http://twrp.me,C,1539,798,44,0,,,,[],2018-08-24T04:17:39,58f2132bc3954fc704787d477500a209eedb8e29,,,"{""C"":3662478,""C++"":2620555,""Makefile"":190541,""Objective-C"":185681,""Roff"":82285,""Shell"":32038,""Java"":20988,""Python"":18195,""Logos"":6655,""Yacc"":4084,""RPC"":3977,""CMake"":2742,""LLVM"":2467}","[""bug"",""duplicate"",""enhancement"",""invalid"",""question"",""wontfix""]",[]
3360917,pervognsen/bitwise,FALSE,568,1,master,18,11,Other,420,4717,174,1005,2018-03-10T04:49:11,2019-03-07T09:45:23,2020-12-15T04:27:51,,C,42,12,36,5,,,,[],2019-03-07T09:45:10,5a261e99efea080e1111a312d897f8d794f061a7,,,{},[],[]
3360921,satori-com/tcpkali,FALSE,680,3,master,11,9,Other,106,2066,186,1689,2014-10-02T12:57:04,2019-04-09T08:26:36,2020-12-07T05:59:43,,C,43,6,27,4,,,,[],2018-01-05T12:55:13,3c3175e417366c7ccafba56454903690fede501a,,,{},[],[]
